,label,0.0,5.0,10.0,15.0,20.0,25.0
83,meanRate,0.0145442373449,0.0778560070597,0.307539552117,0.336670531775,0.221589333819,0.0684150513113
83,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
83,stdRate,0.194197638048,0.267315960443,,,,
84,meanRate,0.512585740688,0.0401538149934,-0.0437689837681,-0.144984479084,0.0927488229317,-0.0363329953009
84,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
84,stdRate,0.904348316577,0.065588520909,,,,
85,meanRate,-0.0206560111962,-0.0307297229971,0.12885320576,0.073227945858,0.0993015702149,0.153613806182
85,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
85,stdRate,0.0690986892449,0.109674080992,,,,
86,meanRate,-0.074943658228,0.0740625416381,0.127039384365,0.0926835154271,0.140461890962,0.206846300559
86,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
86,stdRate,0.20105761873,0.176884741315,,,,
87,meanRate,0.100501216001,0.354258762852,-0.0423639116792,0.0447044827503,-0.158314341576,0.0537182543362
87,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
87,stdRate,0.190059650124,0.54239183251,,,,
88,meanRate,0.049653452063,-0.014873974243,0.115826286582,0.223340653989,0.00974109699456,0.0301381439682
88,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
88,stdRate,0.286440979089,0.138835003593,,,,
89,meanRate,0.366659275547,0.332655902489,0.452461134359,0.535996411441,0.280178594097,0.055949408199
89,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
89,stdRate,0.368764707895,0.375872098934,,,,
90,meanRate,0.246771963128,0.446974186882,0.0290803839032,0.328722703719,0.18166161802,0.298091441426
90,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
90,stdRate,0.323465091556,0.598205298563,,,,
91,meanRate,0.91688537565,1.08996771382,0.34331530098,0.136863074837,0.448227483375,0.565697631535
91,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
91,stdRate,0.961244446674,1.07393668391,,,,
92,meanRate,0.249362830898,0.693595455956,1.36658613514,1.44240254669,1.35632542696,1.4642790819
92,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
92,stdRate,0.305344668713,0.420536556615,,,,
93,meanRate,0.190926830243,0.321965416645,0.020623872132,-0.0232018561485,0.0696055684455,0.185614849188
93,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
93,stdRate,0.357334841299,0.652237433174,,,,
94,meanRate,0.242120338506,0.264483888974,0.360072079061,0.21110599339,0.536269827802,0.539704087982
94,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
94,stdRate,0.175977800013,0.120864111883,,,,
95,meanRate,0.0726555552117,0.321875352986,0.0056750180855,-0.602464799276,-0.186059024002,0.22440974463
95,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
95,stdRate,0.195014710143,0.367439216745,,,,
96,meanRate,0.00442528088286,-0.0110254490667,0.0912553687703,0.0195438039737,0.0242696570584,0.147653755264
96,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
96,stdRate,0.0155225818038,0.0877961044069,,,,
97,meanRate,0.142346890042,0.0650140946529,-0.176187178399,-0.187642571866,-0.0309655543889,0.117607051459
97,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
97,stdRate,0.242799678016,0.137529985476,,,,
98,meanRate,0.0169690389511,0.0908170105715,-0.0406738556267,0.165886744834,-0.0359415021069,-0.0721834556421
98,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
98,stdRate,0.0352910703445,0.109210644775,,,,
99,meanRate,-0.0149139083527,-0.0590759369815,-0.0680568521035,-0.25643836681,-0.130314653581,-0.248514436541
99,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
99,stdRate,0.056405842686,0.122150713528,,,,
100,meanRate,0.0844474036263,0.068105096731,0.20132118357,0.107734109218,-0.0650849162817,0.00303508490958
100,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
100,stdRate,0.072955214101,0.292881590782,,,,
101,meanRate,0.110665941405,0.189161062992,0.473401761788,0.390839822842,0.280588148863,0.209273524905
101,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
101,stdRate,0.181905590551,0.303498858418,,,,
102,meanRate,0.118051168931,-0.0468512021454,-0.117670364315,-0.00318973202026,-0.12314266763,-0.152008686211
102,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
102,stdRate,0.334929651304,0.0701686800641,,,,
103,meanRate,0.160747364193,0.151188531341,0.0963173603672,0.0279393662079,0.0388427332194,0.0325226895875
103,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
103,stdRate,0.140350141362,0.0407551606293,,,,
104,meanRate,0.303549244839,0.499705075664,0.807111136245,0.784026805785,0.747833340402,0.00141380724152
104,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
104,stdRate,0.376537871088,0.564238595356,,,,
105,meanRate,0.734914182113,1.0882338504,1.45876545174,1.48387277748,1.24707911537,1.30330727327
105,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
105,stdRate,0.541316430746,0.350798587083,,,,
106,meanRate,-0.0505191481727,-0.0719099616476,-0.325559916878,-0.316324174556,-0.785038097437,-0.0946663588086
106,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
106,stdRate,0.225667870115,0.453888130531,,,,
107,meanRate,0.161892581062,0.22542479779,0.33234654797,0.198064151079,0.332152101429,0.429007444548
107,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
107,stdRate,0.1724814412,0.153170121195,,,,
108,meanRate,0.0514552242359,0.115876987744,0.662619898129,0.691792559126,0.659907646565,0.209733099681
108,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
108,stdRate,0.168466497878,0.29792688041,,,,
109,meanRate,0.111434305817,0.383286912628,0.917504064477,1.32675903829,0.489154085001,0.0418031465711
109,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
109,stdRate,0.215496127008,0.341491607769,,,,
110,meanRate,0.497713856963,0.326534960779,0.451033181443,0.302337147817,0.717579502005,0.288110565775
110,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
110,stdRate,0.379335640324,0.0651383982384,,,,
111,meanRate,0.161966195926,-0.0360887422248,-0.0767528175933,-0.123640701684,-0.0882065808723,-0.0316463219366
111,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
111,stdRate,0.29280998029,0.0855377850921,,,,
112,meanRate,0.600416994567,1.42118130202,0.157078117138,0.15236929527,-0.0254758618407,0.223071766743
112,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
112,stdRate,0.839590729736,2.26631368824,,,,
113,meanRate,-0.0118983964708,0.0303802002093,-0.0405041627136,-0.0246509595634,-0.000798558601724,-0.0838168923275
113,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
113,stdRate,0.0923347862736,0.148981346851,,,,
114,meanRate,-0.0128849192165,-0.082210249541,-0.288783130382,-0.248873632513,-0.553663908232,0.016373752021
114,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
114,stdRate,0.242525995632,0.325288156105,,,,
115,meanRate,0.0957337313122,0.024266107643,-0.0534482041648,-0.268806551747,0.45208374612,0.964269202827
115,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
115,stdRate,0.228668240341,0.178359108369,,,,
116,meanRate,0.260300900972,0.529303601302,1.29588977101,1.41872002369,1.57478690904,0.0160294648484
116,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
116,stdRate,0.361427305564,0.70382830023,,,,
117,meanRate,0.14183758318,0.454633354467,-0.0689432623988,-0.173695923574,0.0192693915215,-0.342227914285
117,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
117,stdRate,0.340958022719,0.62065998655,,,,
118,meanRate,0.0763193743969,0.137647427663,0.0516664998008,0.244367715229,0.0871133444126,-0.353020474133
118,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
118,stdRate,0.0950167393558,0.134418163151,,,,
119,meanRate,0.234411595694,0.491287615217,1.71829781395,1.71352817857,1.74487195297,1.70633452542
119,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
119,stdRate,0.39667283088,0.895657938329,,,,
120,meanRate,-0.0323891355655,-0.0995681536939,-0.156585264421,-0.139034395705,-0.112039519457,-0.195117928232
120,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
120,stdRate,0.0551712162556,0.0776468706011,,,,
121,meanRate,0.0102258385366,0.0591740023482,0.0959957969704,-0.115064805146,-0.0427045984409,-0.0698549167114
121,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
121,stdRate,0.0405132762479,0.12869801535,,,,
